tanggal,judul,link
2021-11-19,[SALAH] Mahkamah Agung Amerika Serikat Telah Membatalkan Vaksinasi Masal,https://covid19.go.id/p/hoax-buster/salah-mahkamah-agung-amerika-serikat-telah-membatalkan-vaksinasi-masal
2021-11-18,Awas Hoaks Robot Dirancang untuk Memberikan Vaksinasi Secara Paksa,https://covid19.go.id/p/hoax-buster/awas-hoaks-robot-dirancang-untuk-memberikan-vaksinasi-secara-paksa
2021-11-17,Awas Hoaks Penampakan Foto Bayi Satu Mata dan Berekor Akibat Ibunya Divaksin COVID-19 saat Mengandung,https://covid19.go.id/p/hoax-buster/awas-hoaks-penampakan-foto-bayi-satu-mata-dan-berekor-akibat-ibunya-divaksin-covid-19-saat-mengandung
2021-11-16,Awas Hoaks Jepang Hentikan Vaksin Covid-19 dan Memilih Ivermectin,https://covid19.go.id/p/hoax-buster/awas-hoaks-jepang-hentikan-vaksin-covid-19-dan-memilih-ivermectin
2021-11-15,[SALAH] Tautan Pengecekan Bantuan Covid-19 Sebesar Rp600.000 bagi Pemilik KTP atau SIM,https://covid19.go.id/p/hoax-buster/salah-tautan-pengecekan-bantuan-covid-19-sebesar-rp600000-bagi-pemilik-ktp-atau-sim
2021-11-15,[SALAH] Pemerintah Akan Suntik Paksa Vaksin Mematikan pada 22 Februari 2022,https://covid19.go.id/p/hoax-buster/salah-pemerintah-akan-suntik-paksa-vaksin-mematikan-pada-22-februari-2022
2021-11-15,[SALAH] Bayi Dilahirkan dengan Kelainan Genetik Akibat Ibunya Disuntik Vaksin Covid-19,https://covid19.go.id/p/hoax-buster/salah-bayi-dilahirkan-dengan-kelainan-genetik-akibat-ibunya-disuntik-vaksin-covid-19
2021-11-15,[SALAH] Subsidi Pulsa Rp250 Ribu dan Kuota 75Gb dari Kemendikbud,https://covid19.go.id/p/hoax-buster/salah-subsidi-pulsa-rp250-ribu-dan-kuota-75gb-dari-kemendikbud
2021-11-14,[SALAH] Vaksin Covid-19 Mengandung Graphene Oxide yang Bereaksi pada Getaran Musik,https://covid19.go.id/p/hoax-buster/salah-vaksin-covid-19-mengandung-graphene-oxide-yang-bereaksi-pada-getaran-musik
2021-11-11,[SALAH] Robot Dirancang untuk Memberikan Vaksinasi Secara Paksa,https://covid19.go.id/p/hoax-buster/salah-robot-dirancang-untuk-memberikan-vaksinasi-secara-paksa
2021-11-10,[SALAH] Tes Swab Dapat Menggores Amigdala dan Dilakukan di Zaman Mesir Kuno untuk Membuat Budak Menjadi Patuh,https://covid19.go.id/p/hoax-buster/salah-tes-swab-dapat-menggores-amigdala-dan-dilakukan-di-zaman-mesir-kuno-untuk-membuat-budak-menjadi-patuh
2021-11-09,[SALAH] 13 Anak Sekolah di Afrika Meninggal Karena Vaksin Covid-19,https://covid19.go.id/p/hoax-buster/salah-13-anak-sekolah-di-afrika-meninggal-karena-vaksin-covid-19
2021-11-08,[SALAH] Foto Kemasan Vaksin Sinovac “Only for clinical trial”,https://covid19.go.id/p/hoax-buster/salah-foto-kemasan-vaksin-sinovac-only-clinical-trial
2021-11-08,[SALAH] Indonesia Terpilih Menjadi Presiden G20 Karena Berhasil Kendalikan Pandemi,https://covid19.go.id/p/hoax-buster/salah-indonesia-terpilih-menjadi-presiden-g20-karena-berhasil-kendalikan-pandemi
2021-11-07,"[SALAH] “CEO Pfizer ditangkap, didakwa dengan penipuan”",https://covid19.go.id/p/hoax-buster/salah-ceo-pfizer-ditangkap-didakwa-dengan-penipuan
2021-11-06,Awas Hoaks: Stroke Menyerang Anak-Anak sebagai Efek Samping Vaksin COVID-19,https://covid19.go.id/p/hoax-buster/awas-hoaks-stroke-menyerang-anak-anak-sebagai-efek-samping-vaksin-covid-19
2021-11-03,Awas Hoaks: WHO Akui COVID-19 Sama dengan Flu Biasa dan 500.000 Orang di AS Tewas karena Vaksin,https://covid19.go.id/p/hoax-buster/awas-hoaks-who-akui-covid-19-sama-dengan-flu-biasa-dan-500000-orang-di-tewas-karena-vaksin
2021-11-02,[SALAH] Poster tentang Penyakit Stroke yang Menyerang Anak-anak sebagai Efek Samping Covid-19,https://covid19.go.id/p/hoax-buster/salah-poster-tentang-penyakit-stroke-yang-menyerang-anak-anak-sebagai-efek-samping-covid-19
2021-11-02,Awas Hoaks: Video Jenazah COVID-19 yang Sedang Merokok,https://covid19.go.id/p/hoax-buster/awas-hoaks-video-jenazah-covid-19-yang-sedang-merokok
2021-11-01,Awas Hoaks Seorang Anak Meninggal Setelah Divaksinasi COVID-19,https://covid19.go.id/p/hoax-buster/awas-hoaks-seorang-anak-meninggal-setelah-divaksinasi-covid-19
